transaction_id,customer_id,transaction_date,product_id,product_name,category,quantity,unit_price,total_amount,payment_method,status
TXN_000001,CUST_0315,2023-11-14,PROD_001,Wireless Headphones,Electronics,5,81.27,-406.35,,
TXN_000002,CUST_0211,2023-10-09,PROD_004,Smartphone Case,Electronics,2,24.99,49.98,Credit Card,Completed
TXN_000003,CUST_0197,2023-03-12,PROD_003,Coffee Maker,Home,2,79.99,159.98,Debit Card,Failed
TXN_000004,CUST_0128,2023-11-19,PROD_005,Yoga Mat,Sports,5,39.99,199.95,Credit Card,Pending
TXN_000005,CUST_0246,2023-10-06,PROD_003,Coffee Maker,Home,2,79.99,159.98,PayPal,Failed
TXN_000006,CUST_0165,2023-07-18,PROD_005,Yoga Mat,Sports,2,39.99,79.98,Debit Card,Completed
TXN_000007,CUST_0306,2023-04-23,PROD_003,Coffee Maker,Home,1,79.99,79.99,PayPal,Completed
TXN_000008,CUST_0272,2023-07-03,PROD_004,Smartphone Case,Electronics,3,24.99,74.97,Debit Card,Completed
TXN_000009,CUST_0127,2023-12-03,PROD_001,Wireless Headphones,Electronics,2,99.99,199.98,PayPal,Failed
TXN_000010,CUST_0392,2023-04-23,PROD_001,Wireless Headphones,Electronics,3,99.99,299.97,Cash,Pending
TXN_000011,CUST_0091,2023-05-02,PROD_002,Running Shoes,Sports,3,129.99,389.97,PayPal,Failed
TXN_000012,CUST_0468,2023-10-30,PROD_003,Coffee Maker,Home,1,79.99,79.99,PayPal,Failed
TXN_000013,CUST_0073,2023-10-16,PROD_005,Yoga Mat,Sports,1,39.99,39.99,Cash,Failed
TXN_000014,CUST_0090,2023-09-09,PROD_003,Coffee Maker,Home,1,79.99,79.99,Credit Card,Completed
TXN_000015,CUST_0309,2023-04-23,PROD_002,Running Shoes,Sports,1,129.99,129.99,Cash,Completed
TXN_000016,CUST_0470,2023-11-11,PROD_003,Coffee Maker,Home,2,79.99,159.98,Debit Card,Pending
TXN_000017,CUST_0471,2023-06-15,PROD_002,Running Shoes,Sports,1,129.99,129.99,Credit Card,Completed
TXN_000018,CUST_0361,2023-03-14,PROD_005,Yoga Mat,Sports,1,39.99,39.99,PayPal,Completed
TXN_000019,CUST_0361,2023-12-06,PROD_003,Coffee Maker,Home,4,79.99,319.96,Credit Card,Pending
TXN_000020,CUST_0166,2023-03-11,PROD_003,Coffee Maker,Home,1,79.99,79.99,Cash,Failed
TXN_000021,CUST_0333,2023-06-12,PROD_004,Smartphone Case,Electronics,1,24.99,24.99,PayPal,Completed
TXN_000022,CUST_0418,2023-03-31,PROD_005,Yoga Mat,Sports,2,39.99,79.98,PayPal,Failed
TXN_000023,CUST_0066,2023-04-01,PROD_003,Coffee Maker,Home,3,79.99,239.97,Credit Card,Failed
TXN_000024,CUST_0201,2023-10-18,PROD_005,Yoga Mat,Sports,1,39.99,39.99,Debit Card,Failed
TXN_000025,CUST_0472,2023-11-10,PROD_003,Coffee Maker,Home,2,79.99,159.98,Credit Card,Pending
TXN_000026,CUST_0170,2023-02-09,PROD_002,Running Shoes,Sports,1,129.99,129.99,PayPal,Pending
TXN_000027,CUST_0326,2023-02-15,PROD_002,Running Shoes,Sports,3,129.99,389.97,PayPal,Pending
TXN_000028,CUST_0136,2023-04-18,PROD_001,Wireless Headphones,Electronics,1,99.99,99.99,Credit Card,Pending
TXN_000029,CUST_0403,2023-02-25,PROD_003,Coffee Maker,Home,3,79.99,239.97,Credit Card,Completed
TXN_000030,CUST_0225,2023-08-03,PROD_004,Smartphone Case,Electronics,1,24.99,24.99,Cash,Pending
TXN_000031,CUST_0180,2023-10-07,PROD_004,Smartphone Case,Electronics,2,24.99,49.98,Credit Card,Pending
TXN_000032,CUST_0334,2023-12-18,PROD_005,Yoga Mat,Sports,2,39.99,79.98,Debit Card,Pending
TXN_000033,CUST_0410,2023-01-18,PROD_001,Wireless Headphones,Electronics,2,99.99,199.98,Credit Card,Pending
TXN_000034,CUST_0488,2023-02-23,PROD_003,Coffee Maker,Home,1,79.99,79.99,PayPal,Completed
TXN_000035,CUST_0083,2023-02-08,PROD_004,Smartphone Case,Electronics,3,24.99,74.97,Credit Card,Pending
TXN_000036,CUST_0505,2023-11-11,PROD_005,Yoga Mat,Sports,4,39.99,159.96,Credit Card,Pending
TXN_000037,CUST_0311,2023-08-11,PROD_002,Running Shoes,Sports,1,129.99,129.99,Credit Card,Completed
TXN_000038,CUST_0106,2023-04-08,PROD_003,Coffee Maker,Home,2,79.99,159.98,PayPal,Failed
TXN_000039,CUST_0153,2023-05-02,PROD_003,Coffee Maker,Home,1,79.99,79.99,Credit Card,Pending
TXN_000040,CUST_0282,2023-09-09,PROD_005,Yoga Mat,Sports,1,39.99,39.99,Credit Card,Pending
TXN_000041,CUST_0219,2023-02-14,PROD_001,Wireless Headphones,Electronics,2,99.99,199.98,Cash,Completed
TXN_000042,CUST_0014,2023-04-16,PROD_001,Wireless Headphones,Electronics,1,99.99,99.99,PayPal,Completed
TXN_000043,CUST_0433,2023-03-01,PROD_004,Smartphone Case,Electronics,2,24.99,49.98,Cash,Pending
TXN_000044,CUST_0459,2023-12-05,PROD_004,Smartphone Case,Electronics,3,24.99,74.97,Credit Card,Failed
TXN_000045,CUST_0199,2023-04-05,PROD_005,Yoga Mat,Sports,2,39.99,79.98,Cash,Pending
TXN_000046,CUST_0229,2023-01-23,PROD_002,Running Shoes,Sports,2,129.99,259.98,Cash,Pending
TXN_000047,CUST_0116,2023-05-18,PROD_003,Coffee Maker,Home,3,79.99,239.97,Credit Card,Completed
TXN_000048,CUST_0044,2023-12-09,PROD_001,Wireless Headphones,Electronics,3,99.99,299.97,Cash,Failed
TXN_000049,CUST_0284,2023-02-01,PROD_002,Running Shoes,Sports,2,129.99,259.98,Cash,Failed
TXN_000050,CUST_0294,2023-05-01,PROD_004,Smartphone Case,Electronics,2,24.99,49.98,PayPal,Completed
TXN_000051,CUST_0463,2024-01-01,PROD_004,Smartphone Case,Electronics,1,24.99,24.99,Debit Card,Completed
TXN_000052,CUST_0089,2023-03-27,PROD_004,Smartphone Case,Electronics,1,24.99,24.99,Debit Card,Completed
TXN_000053,CUST_0217,2023-02-10,PROD_001,Wireless Headphones,Electronics,3,99.99,299.97,Cash,Completed
TXN_000054,CUST_0428,2023-11-01,PROD_002,Running Shoes,Sports,3,129.99,389.97,PayPal,Failed
TXN_000055,CUST_0045,2023-07-18,PROD_001,Wireless Headphones,Electronics,3,99.99,299.97,Cash,Failed
TXN_000056,CUST_0439,2023-05-22,PROD_003,Coffee Maker,Home,3,79.99,239.97,Cash,Completed
TXN_000057,CUST_0301,2023-09-25,PROD_005,Yoga Mat,Sports,2,39.99,79.98,Credit Card,Pending
